user_id,wallet,tokens
74,0x2ba21637D43ca701a7CF5E904E75fd4FA3315d59,27128388849073424
75,0xBCe03405638247f5CA3eA767b2367B1af307Ea81,7102459120217515
76,0x2C78a6DCb2e87E9e04d050Bb91D27b4103c7397a,74846208629698256
77,0x784f41Efd5E3554d2304ef17f1971ef0DB7B7A43,8920402631712334
78,0x71AaBeCe380059ad48e943816d8EC479BeA7fB0a,70438511992270232
79,0x17E2CAe7563729A4D93C61Bac555B517B4010880,2887343932398027
80,0xB7C183Fb73E786B5e1b8E40E78253AA81C4dD1C4,26337031543646764
81,0x47231Bafc89c07A1826aDf318725b69D7D40535F,14391718955589570
82,0x01CCC5332FaDE6B97afDFB493BCE15593BC61086,10419146616336388
83,0xe8A35fb167f70a14e143c7A7d4E301Ca8931360a,3546367219114961
84,0x17e3597F156a309b0Fd31FBeC6760D8400B518B5,2197349361602592768
85,0x5D259EDBCd0732BC55F90611b85AbD90025c3dE9,21542679101488128
86,0xD8fa0957B8e3c3b07210A9b1c14dA07572BE3A69,7388167135376077
87,0xdA9937A2e7200DC86842Bc0a5f56c6B59Ad28F1c,4911787302905808
88,0xb2Eff946614F9a56833dB7EB926d61120E431a54,617425381562054
89,0x2a0BbADf2EF42B9967Fd6530f48Af02c096c7CeA,89470142102086464
90,0xe53Ab209A541C969CD979223d347f5000b6Fa3d8,70160191211579184
91,0x064d2AB56D277D5d3117858b060528778Dc176aC,4639837957080143872
92,0x278BfC8C642a5e4fB1bdDaDe4595b6240F41Ab44,22236127271118280
93,0xE0eBdD595DCFF32dA15C979751299B558A295d48,107962262879224896
94,0x6A9977F7E0724719CDF88778BF6a1EF9736D4b6d,54168055977175704
95,0xA081E78c46a27056B321A963B1321E43a644c6F4,10260962694800382
96,0x487Ceb2fd077C6cc38CBE54c273C5cbB5b0937e9,496983546626574
97,0x52352f66aeFb3D655991e1B50eF7918a3b3CeDc2,43276119150100176
98,0x252102C08117FBAD6caD22DF14FAA982a68226cF,42187515453640928
99,0x0b45bb25990F4ECeee715D5D836fE718D833Bba9,12175272144363933696
100,0xaDF1FB2b54481C4eb5CC600d1BBE9776DB6704E8,149983934010452896
